iso3,country.name,un.code,UNCTAD.list,income_HC,dac.code,M49_1,M49_2
CYM,Cayman Islands,136,Cayman Islands,H_HHC,NA,Americas,Caribbean
CYP,Cyprus,196,Cyprus,H_HHC,30,Asia,Western Asia
CZE,Czechia,203,Czechia,H_NHC,68,Europe,Eastern Europe
DEU,Germany,276,Germany,H_NHC,5,Europe,Western Europe
DJI,Djibouti,262,Djibouti,L_HHC,274,Africa,Eastern Africa
DMA,Dominica,212,Dominica,L_HHC,378,Americas,Caribbean
DNK,Denmark,208,Denmark,H_NHC,3,Europe,Northern Europe
DOM,Dominican Republic,214,Dominican Republic,L_HHC,340,Americas,Caribbean
DZA,Algeria,12,Algeria,L_LHC,130,Africa,Northern Africa
DZA,Algeria,12,Algeria,L_LHC,130,Africa,Northern Africa
ECU,Ecuador,218,Ecuador,L_HHC,440,Americas,South America
EGY,Egypt,818,Egypt,L_LHC,142,Africa,Northern Africa
ERI,Eritrea,232,Eritrea,L_HHC,271,Africa,Eastern Africa
ESP,Spain,724,Spain,H_HHC,50,Europe,Southern Europe
EST,Estonia,233,Estonia,H_NHC,82,Europe,Northern Europe
ETH,Ethiopia,231,Ethiopia,L_HHC,238,Africa,Eastern Africa
FIN,Finland,246,Finland,H_NHC,18,Europe,Northern Europe
FJI,Fiji,242,Fiji,L_HHC,832,Oceania,Melanesia
FRA,France,251,France,H_LHC,4,Europe,Western Europe
FRO,Faroe Islands,234,Faroe Islands,H_NHC,NA,Europe,Northern Europe
FSM,Micronesia (Federated States of),583,Micronesia (Federated States of),L_HHC,860,Oceania,Micronesia
GAB,Gabon,266,Gabon,L_NHC,239,Africa,Middle Africa
GBR,United Kingdom,826,United Kingdom,H_NHC,12,Europe,Northern Europe
GEO,Georgia,268,Georgia,L_HHC,612,Asia,Western Asia
GHA,Ghana,288,Ghana,L_LHC,241,Africa,Western Africa
GIB,Gibraltar,292,Gibraltar,H_HHC,NA,Europe,Southern Europe
GIN,Guinea,324,Guinea,L_LHC,243,Africa,Western Africa
GMB,Gambia,270,Gambia,L_NHC,240,Africa,Western Africa
GNB,Guinea-Bissau,624,Guinea-Bissau,L_NHC,244,Africa,Western Africa
GNQ,Equatorial Guinea,226,Equatorial Guinea,L_LHC,245,Africa,Middle Africa
GRC,Greece,300,Greece,H_HHC,40,Europe,Southern Europe
GRD,Grenada,308,Grenada,L_HHC,381,Americas,Caribbean
GRL,Greenland,304,Greenland,H_NHC,NA,Americas,Northern America
GTM,Guatemala,320,Guatemala,L_HHC,347,Americas,Central America
GUM,Guam,316,Guam,H_HHC,NA,Oceania,Micronesia
GUY,Guyana,328,Guyana,L_NHC,446,Americas,South America
HND,Honduras,340,Honduras,L_HHC,351,Americas,Central America
HRV,Croatia,191,Croatia,H_LHC,62,Europe,Southern Europe
HTI,Haiti,332,Haiti,L_HHC,349,Americas,Caribbean
HUN,Hungary,348,Hungary,H_NHC,75,Europe,Eastern Europe
IDN,Indonesia,360,Indonesia,L_HHC,738,Asia,South-eastern Asia
IND,India,699,India,L_LHC,645,Asia,Southern Asia
IRL,Ireland,372,Ireland,H_NHC,21,Europe,Northern Europe
IRN,Iran (Islamic Republic of),364,Iran (Islamic Republic of),L_LHC,540,Asia,Southern Asia
IRQ,Iraq,368,Iraq,L_LHC,543,Asia,Western Asia
IRQ,Iraq,368,Iraq,L_LHC,543,Asia,Western Asia
ISL,Iceland,352,Iceland,H_NHC,20,Europe,Northern Europe
ISR,Israel,376,Israel,H_LHC,546,Asia,Western Asia
ITA,Italy,380,Italy,H_HHC,6,Europe,Southern Europe
JAM,Jamaica,388,Jamaica,L_HHC,354,Americas,Caribbean
JOR,Jordan,400,Jordan,L_LHC,549,Asia,Western Asia
JPN,Japan,392,Japan,H_HHC,701,Asia,Eastern Asia
KAZ,Kazakhstan,398,Kazakhstan,L_LHC,613,Asia,Central Asia
KAZ,Kazakhstan,398,Kazakhstan,L_LHC,613,Asia,Central Asia
KEN,Kenya,404,Kenya,L_LHC,248,Africa,Eastern Africa
KGZ,Kyrgyzstan,417,Kyrgyzstan,L_HHC,614,Asia,Central Asia
KHM,Cambodia,116,Cambodia,L_HHC,728,Asia,South-eastern Asia
KIR,Kiribati,296,Kiribati,L_HHC,836,Oceania,Micronesia
KNA,Saint Kitts and Nevis,659,Saint Kitts and Nevis,H_HHC,NA,Americas,Caribbean
KOR,"Korea, Republic of",410,"Korea, Republic of",H_LHC,742,Asia,Eastern Asia
KWT,Kuwait,414,Kuwait,H_NHC,552,Asia,Western Asia
LAO,Lao People's Dem. Rep.,418,Lao People's Dem. Rep.,L_HHC,745,Asia,South-eastern Asia
LBN,Lebanon,422,Lebanon,L_HHC,555,Asia,Western Asia
LBR,Liberia,430,Liberia,L_HHC,251,Africa,Western Africa
LBY,Libya,434,Libya,L_LHC,133,Africa,Northern Africa
LBY,Libya,434,Libya,L_LHC,133,Africa,Northern Africa
LCA,Saint Lucia,662,Saint Lucia,L_HHC,383,Americas,Caribbean
LKA,Sri Lanka,144,Sri Lanka,L_HHC,640,Asia,Southern Asia
LSO,Lesotho,426,Lesotho,L_NHC,249,Africa,Southern Africa
LTU,Lithuania,440,Lithuania,H_NHC,84,Europe,Northern Europe
LUX,Luxembourg,442,Luxembourg,H_NHC,22,Europe,Western Europe
LVA,Latvia,428,Latvia,H_NHC,83,Europe,Northern Europe
MAR,Morocco,504,Morocco,L_HHC,136,Africa,Northern Africa
MDA,Republic of Moldova,498,Republic of Moldova,L_NHC,93,Europe,Eastern Europe
MDG,Madagascar,450,Madagascar,L_HHC,252,Africa,Eastern Africa
MDV,Maldives,462,Maldives,L_NHC,655,Asia,Southern Asia
MEX,Mexico,484,Mexico,L_HHC,358,Americas,Central America
MEX,Mexico,484,Mexico,L_HHC,358,Americas,Central America
MHL,Marshall Islands,584,Marshall Islands,L_LHC,859,Oceania,Micronesia
MKD,North Macedonia,807,North Macedonia,L_LHC,66,Europe,Southern Europe
MLI,Mali,466,Mali,L_NHC,255,Africa,Western Africa
MLT,Malta,470,Malta,H_HHC,45,Europe,Southern Europe
MMR,Myanmar,104,Myanmar,L_HHC,635,Asia,South-eastern Asia
MNE,Montenegro,499,Montenegro,L_LHC,65,Europe,Southern Europe
MNG,Mongolia,496,Mongolia,L_NHC,753,Asia,Eastern Asia
MNP,Northern Mariana Islands,580,Northern Mariana Islands,H_HHC,NA,Oceania,Micronesia
MOZ,Mozambique,508,Mozambique,L_LHC,259,Africa,Eastern Africa
MRT,Mauritania,478,Mauritania,L_NHC,256,Africa,Western Africa
MUS,Mauritius,480,Mauritius,L_HHC,257,Africa,Eastern Africa
MWI,Malawi,454,Malawi,L_LHC,253,Africa,Eastern Africa
MYS,Malaysia,458,Malaysia,L_HHC,751,Asia,South-eastern Asia
NAM,Namibia,516,Namibia,L_LHC,275,Africa,Southern Africa
NCL,New Caledonia,540,New Caledonia,H_HHC,NA,Oceania,Melanesia
NER,Niger,562,Niger,L_NHC,260,Africa,Western Africa
NGA,Nigeria,566,Nigeria,L_LHC,261,Africa,Western Africa
NIC,Nicaragua,558,Nicaragua,L_HHC,364,Americas,Central America
NLD,Netherlands,528,Netherlands,H_NHC,7,Europe,Western Europe
NOR,Norway,579,Norway,H_NHC,8,Europe,Northern Europe
NPL,Nepal,524,Nepal,L_HHC,660,Asia,Southern Asia
NRU,Nauru,520,Nauru,L_HHC,845,Oceania,Micronesia
NZL,New Zealand,554,New Zealand,H_HHC,820,Oceania,Australia and New Zealand
OMN,Oman,512,Oman,H_LHC,NA,Asia,Western Asia
PAK,Pakistan,586,Pakistan,L_LHC,665,Asia,Southern Asia
PAN,Panama,591,Panama,H_HHC,366,Americas,Central America
PER,Peru,604,Peru,L_LHC,454,Americas,South America
PHL,Philippines,608,Philippines,L_HHC,755,Asia,South-eastern Asia
PLW,Palau,585,Palau,H_HHC,861,Oceania,Micronesia
PNG,Papua New Guinea,598,Papua New Guinea,L_LHC,862,Oceania,Melanesia
POL,Poland,616,Poland,H_NHC,76,Europe,Eastern Europe
PRK,"Korea, Dem. People's Rep. of",408,"Korea, Dem. People's Rep. of",L_NHC,740,Asia,Eastern Asia
PRT,Portugal,620,Portugal,H_HHC,9,Europe,Southern Europe
PRY,Paraguay,600,Paraguay,L_LHC,451,Americas,South America
PSE,State of Palestine,275,State of Palestine,L_HHC,550,Asia,Western Asia
